"nuts3";"nazev";"adresa"
"CZ010";"Krajská správa ČSÚ v hl. m. Praze";"Na padesátém 81 100 82, Praha 10"
"CZ020";"Krajská správa ČSÚ pro Středočeský kraj";"Na padesátém 3268/81 100 82 Praha 10"
"CZ031";"Krajská správa ČSÚ v Českých Budějovicích";"Žižkova 1914/1a 370 77, České Budějovice"
"CZ032";"Krajská správa ČSÚ v Plzni";"Slovanská alej 2323/36 326 64 Plzeň"
"CZ041";"Krajská správa ČSÚ v Karlových Varech";"Závodní 360/94 360 06, Karlovy Vary"
"CZ042";"Krajská správa ČSÚ v Ústí nad Labem";"Špálova 2684/1 400 11, Ústí nad Labem"
"CZ051";"Krajská správa ČSÚ v Liberci";"nám. Dr. E. Beneše 585/26, 460 01 Liberec"
"CZ052";"Krajská správa ČSÚ v Hradci Králové";"Myslivečkova 914/1 500 03, Hradec Králové 3"
"CZ053";"Krajská správa ČSÚ v Pardubicích";"V Ráji 872 531 53, Pardubice"
"CZ063";"Krajská správa ČSÚ v Jihlavě";"Ke Skalce 1881/30 586 01, Jihlava"
"CZ064";"Krajská správa ČSÚ v Brně";"Jezuitská 2 601 59, Brno"
"CZ071";"Krajská správa ČSÚ v Olomouci";"Jeremenkova 1142/42 772 11, Olomouc"
"CZ072";"Krajská správa ČSÚ ve Zlíně";"třída Tomáše Bati 1565 761 76, Zlín"
"CZ080";"Krajská správa ČSÚ v Ostravě";"Repinova 2661/17 702 03 Ostrava"